"id","name"
"16000000","SHELLY"
"16000001","COLT"
"16000002","BULL"
"16000003","BROCK"
"16000004","RICO"
"16000005","SPIKE"
"16000006","BARLEY"
"16000007","JESSIE"
"16000008","NITA"
"16000009","DYNAMIKE"
"16000010","EL PRIMO"
"16000011","MORTIS"
"16000012","CROW"
"16000013","POCO"
"16000014","BO"
"16000015","PIPER"
"16000016","PAM"
"16000017","TARA"
"16000018","DARRYL"
"16000019","PENNY"
"16000020","FRANK"
"16000021","GENE"
"16000022","TICK"
"16000023","LEON"
"16000024","ROSA"
"16000025","CARL"
"16000026","BIBI"
"16000027","8-BIT"
"16000028","SANDY"
"16000029","BEA"
"16000030","EMZ"
"16000031","MR. P"
"16000032","MAX"
"16000034","JACKY"
"16000035","GALE"
"16000036","NANI"
"16000037","SPROUT"
"16000038","SURGE"
"16000039","COLETTE"
"16000040","AMBER"
"16000041","LOU"
"16000042","BYRON"
"16000043","EDGAR"
"16000044","COLONEL RUFFS"
"16000045","STU"
"16000046","BELLE"
"16000047","SQUEAK"
